date,regime_label,ae_error,llm_macro,llm_sentiment,llm_risk,v1_w_n_broad,v1_w_n_sat,v1_w_n_fi,v1_w_n_safe,v1_w_n_cash,v1_w_e_broad,v1_w_e_sat,v1_w_e_fi,v1_w_e_safe,v1_w_e_cash,v2_w_n_broad,v2_w_n_sat,v2_w_n_fi,v2_w_n_safe,v2_w_n_cash,v2_w_e_broad,v2_w_e_sat,v2_w_e_fi,v2_w_e_safe,v2_w_e_cash,v1_r_n,v1_r_e,v1_edge,v2_r_n,v2_r_e,v2_edge
2024-03-22,bull_normal,14.067305564880373,58.7,60.2,50.75,0.2,0.2,0.2,0.2,0.2,0.20141726968540238,0.12214092550069391,0.28540065762439365,0.2019380819231515,0.18910306526635842,0.2,0.2,0.2,0.2,0.2,0.2691869211605869,0.26884767864888964,0.18786546443371976,0.12409993575680382,0.15,0.0019810292789385646,0.0026387114293860486,0.000657682150447484,0.0019810292789385646,0.0011659524969612276,-0.0008150767819773369
2024-03-29,event_stress,24.272106170654297,60.7,58.8,49.25,0.1,0.05,0.5,0.2,0.15,0.05,0.0,0.45,0.35,0.15,0.1,0.05,0.5,0.2,0.15,0.13685948469091233,0.1,0.34316842706141504,0.2604812134786604,0.1594908747690123,0.0029940612364502102,0.006600841881522796,0.003606780645072586,0.0029940612364502102,0.004288312334403395,0.0012942510979531844
2024-04-05,event_stress,24.50827407836914,57.5,62.0,40.75,0.1,0.05,0.5,0.2,0.15,0.05,0.0,0.45,0.35,0.15,0.1,0.05,0.5,0.2,0.15,0.08110170618753657,0.08122653156936376,0.4872819839208325,0.23658254869805628,0.11380722962421087,0.010656655800283014,0.014217116691994774,0.0035604608917117597,0.010656655800283014,0.012063486215258396,0.0014068304149753817
2024-04-12,event_stress,31.890609741210938,59.2,61.8,37.75,0.1,0.05,0.5,0.2,0.15,0.05,0.0,0.45,0.35,0.15,0.1,0.05,0.5,0.2,0.15,0.05381404608117049,0.05369280576133605,0.5767246513741411,0.2,0.11576849678335242,0.013049633987654574,0.018276464756876217,0.005226830769221643,0.013049633987654574,0.014709134235379753,0.0016595002477251784
2024-04-19,event_stress,22.235801696777344,61.4,62.27,40.05,0.1,0.05,0.5,0.2,0.15,0.05,0.0,0.45,0.35,0.15,0.1,0.05,0.5,0.2,0.15,0.15074718080173646,0.1,0.3125290222672525,0.2521577672962756,0.18456602963473553,0.0007262666431816824,-0.0014551626307668182,-0.0021814292739485005,0.0007262666431816824,0.0013786032663705493,0.0006523366231888668
2024-04-26,event_stress,23.9983024597168,62.0,63.0,47.25,0.1,0.05,0.5,0.2,0.15,0.05,0.0,0.45,0.35,0.15,0.1,0.05,0.5,0.2,0.15,0.14239437793925833,0.10000000000000002,0.30000000000000004,0.27330648864469703,0.1842991334160447,-0.009430832790215074,-0.01236890278704707,-0.002938069996831995,-0.009430832790215074,-0.0072888540306436204,0.0021419787595714536
2024-05-03,event_stress,29.94525909423828,63.92,64.95,46.45,0.1,0.05,0.5,0.2,0.15,0.05,0.0,0.45,0.35,0.15,0.1,0.05,0.5,0.2,0.15,0.2,0.1,0.3,0.26751079563897606,0.1324892043610239,-0.012168173345472901,-0.011530146147964049,0.0006380271975088524,-0.012168173345472901,-0.0034500827370658334,0.008718090608407067
2024-05-10,bull_normal,18.767335891723636,61.5,59.8,43.55,0.2,0.2,0.2,0.2,0.2,0.20418634721150247,0.13851242284610493,0.27521228348416077,0.20002351694723167,0.18206542951100027,0.2,0.2,0.2,0.2,0.2,0.22421688490965458,0.22479443853876852,0.21296667968631713,0.18802199686525978,0.15,0.008868726765885446,0.008520718958182131,-0.0003480078077033148,0.008868726765885446,0.008640424908585314,-0.00022830185730013212
2024-05-17,bull_normal,12.013652801513672,59.6,63.3,45.2,0.2,0.2,0.2,0.2,0.2,0.20409896056242963,0.1367623199634411,0.2756708838286024,0.20045260144165883,0.1830152342038681,0.2,0.2,0.2,0.2,0.2,0.24533516671939015,0.24241988097362002,0.2027053788721096,0.21092780675370768,0.09861176668117257,0.0026605948534412726,0.0021566567007854343,-0.0005039381526558383,0.0026605948534412726,0.002350538314761914,-0.00031005653867935846
2024-05-24,bull_normal,17.400657653808594,61.5,61.0,47.25,0.2,0.2,0.2,0.2,0.2,0.20326780849879103,0.13194676557468113,0.2785294694839591,0.2011666294742828,0.1850893269682859,0.2,0.2,0.2,0.2,0.2,0.15923894939714667,0.1550223472096687,0.44385215519139165,0.09188654820179303,0.15,-0.006098995477872624,-0.005003348078246175,0.001095647399626449,-0.006098995477872624,-0.002303642018909158,0.0037953534589634658
